2025111001 FATİH ALAN 0
2025111002 AHMET DURAK 59.6
2025111003 ALPER AK 0
2025111004 CEMAL TOLUN 31.4
2025111005 OZAN KOCAER 53.4
2025111006 TALHA DELEN 36.5
2025111007 UMUT TUZSUZ 0
2025111008 FATMA UYSAL 61.6
2025111009 BAHAR ASPUR 52
2025111010 SERKAN GELEN 37.1
2025111011 BANU DURAN 58
2025111012 CEM KALE 48.5
2025111013 SERKAN ATA 40.8
2025111014 MUSTAFA AK 60.7
2025111015 BURAK ALMAN 39.1
2025111016 CEMAL ESER 29.9
2025111017 MEHMET ACAR 60.7
2025111018 AHMET DURAK 50.5
2025111019 UYGAR KENGER 37.3
2025111020 SERDAL ZERAY 61
2025111021 MUTLUCAN ULU 43.1
2025111022 KORAY BOZ 42.2
2025111023 TAHA YAVUZER 40.3
2025111024 ARZU AKKUZU 41.8
2025111025 YUNUS BULAT 63.7
