2025111001 FATİH ALAN 3 0 4 3 4 3 2 1 0 4 0 3 0 4
2025111002 AHMET DURAK 3 1 3 2 3 4 4 2 2 1 2 0 4 2
2025111003 ALPER AK 3 1 4 2 4 4 2 3 0 2 4 1 1 3
2025111004 CEMAL TOLUN 3 0 1 1 1 0 0 3 0 2 3 4 0 1
2025111005 OZAN KOCAER 2 3 1 0 1 3 1 4 3 3 4 4 4 3
2025111006 TALHA DELEN 4 2 1 3 4 1 4 0 1 4 2 2 1 0
2025111007 UMUT TUZSUZ 0 4 0 2 2 0 1 4 2 0 3 0 2 0
2025111008 FATMA UYSAL 1 1 2 3 1 3 1 4 3 0 0 2 4 2
2025111009 BAHAR ASPUR 0 0 4 4 0 3 2 0 1 1 3 0 4 1
2025111010 SERKAN GELEN 4 1 0 2 1 2 1 1 2 2 3 0 0 4
2025111011 BANU DURAN 2 0 0 2 0 3 2 2 2 4 1 4 4 4
2025111012 CEM KALE 3 0 1 4 3 4 3 4 1 0 2 1 3 2
2025111013 SERKAN ATA 0 1 0 0 0 3 2 2 0 2 1 2 4 2
2025111014 MUSTAFA AK 0 1 0 3 4 1 2 3 2 2 0 1 0 2
2025111015 BURAK ALMAN 0 0 3 0 1 0 0 1 4 2 3 2 2 2
2025111016 CEMAL ESER 1 0 3 3 3 4 4 0 3 1 4 2 0 2
2025111017 MEHMET ACAR 1 0 3 1 3 3 1 3 3 0 0 0 0 1
2025111018 AHMET DURAK 0 4 1 1 4 0 1 3 0 4 4 0 1 1
2025111019 UYGAR KENGER 3 3 1 0 0 1 3 0 1 2 1 2 0 4
2025111020 SERDAL ZERAY 3 4 1 0 1 4 2 0 2 1 2 1 0 4
2025111021 MUTLUCAN ULU 0 0 0 1 2 0 1 2 2 0 3 2 3 1
2025111022 KORAY BOZ 4 0 4 2 3 4 0 2 4 1 4 2 0 4
2025111023 TAHA YAVUZER 0 4 4 3 3 3 2 1 4 4 1 2 1 4
2025111024 ARZU AKKUZU 3 0 4 1 3 0 2 2 1 4 2 0 1 4
2025111025 YUNUS BULAT 0 4 0 4 1 0 2 0 2 2 2 1 0 3
